Product,Issue,State,ZIP code,Submitted via,Date received,Company,Company response,Timely response?,Consumer disputed?
Credit card,Payoff process,IN,46804,Web,3/20/12,Barclays,Closed with relief,Yes,No
Credit card,Billing statement,IN,47025,Web,2/18/12,Barclays,Closed with relief,Yes,No
Credit card,APR or interest rate,IN,47394,Referral,12/6/11,Barclays,Closed without relief,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,47129,Web,3/18/14,BB&T Financial,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,46140,Referral,3/20/12,BB&T Financial,Closed with relief,Yes,No
Credit card,Credit determination,IN,46241,Postal mail,12/27/13,BMO Harris,Closed with explanation,Yes,No
Credit card,Credit reporting,IN,46074,Web,10/2/12,BMO Harris,Closed with explanation,Yes,No
Credit card,Other,IN,47905,Web,9/18/14,Capital One,In progress,Yes,
Credit card,Credit determination,IN,46220,Web,9/16/14,Capital One,Closed with non-monetary relief,Yes,
Credit card,Credit determination,IN,47960,Postal mail,9/15/14,Capital One,Closed with explanation,Yes,
Credit card,Identity theft / Fraud / Embezzlement,IN,46075,Referral,7/2/14,Capital One,Closed with explanation,Yes,Yes
Credit card,Application processing delay,IN,46034,Referral,5/22/14,Capital One,Closed with explanation,Yes,Yes
Credit card,Other,IN,46349,Web,5/6/14,Capital One,Closed with explanation,Yes,No
Credit card,Other,IN,46307,Web,2/27/14,Capital One,Closed with explanation,Yes,No
Credit card,Credit line increase/decrease,IN,46224,Web,2/24/14,Capital One,Closed with explanation,Yes,No
Credit card,Other,IN,47356,Web,2/21/14,Capital One,Closed with explanation,Yes,No
Credit card,Credit line increase/decrease,IN,46219,Web,1/16/14,Capital One,Closed with non-monetary relief,Yes,No
Credit card,Other,IN,46901,Web,1/12/14,Capital One,Closed with explanation,Yes,No
Credit card,Credit determination,IN,46260,Referral,1/7/14,Capital One,Closed with explanation,Yes,Yes
Credit card,Credit line increase/decrease,IN,46032,Postal mail,12/27/13,Capital One,Closed with explanation,Yes,No
Credit card,Other,IN,46360,Web,12/2/13,Capital One,Closed with non-monetary relief,Yes,No
Credit card,APR or interest rate,IN,46835,Phone,11/26/13,Capital One,Closed with explanation,Yes,Yes
Credit card,Delinquent account,IN,47283,Web,11/21/13,Capital One,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46061,Web,11/19/13,Capital One,Closed with monetary relief,Yes,No
Credit card,Other,IN,47909,Web,11/12/13,Capital One,Closed with explanation,Yes,No
Credit card,Other,IN,46032,Web,11/2/13,Capital One,Closed with explanation,Yes,No
Credit card,Other,IN,46307,Web,10/28/13,Capital One,Closed with explanation,Yes,Yes
